genome,species,representative,genome_is_representative,database,genome_type,species_name,source
P10709168.sbin.1,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
ERR3500826.sbin.3,240891,SRR17284223.mbin.1,0,VMGC,MAG,Lactobacillus iners,FRT
MG196.mbin.9,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1017.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG1146.mbin.4,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR16470981.mbin.13,783244,ERR10897722.mbin.1,0,VMGC,MAG,Bifidobacterium vaginale,FRT
SRR17635598.mbin.2,611554,GCF_000439915.2,0,VMGC,MAG,Lactobacillus gasseri,FRT
MG495.mbin.47,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
ERR10897711.mbin.1,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
SRR16471076.mbin.2,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
MG39.mbin.11,619501,GCF_001562845.1,0,VMGC,MAG,Fannyhessea vaginae,FRT
